date,close,high,low,open,volume
2026-02-03T00:00:00.000Z,124.77,125.28,123.28,124.25,433316.0
2026-02-04T00:00:00.000Z,126.5,126.99,124.92,124.95,323317.0
2026-02-05T00:00:00.000Z,126.2,127.61,125.35,127.04,300600.0
2026-02-06T00:00:00.000Z,126.71,127.074,125.93,126.08,195149.0
2026-02-09T00:00:00.000Z,127.44,127.75,126.78,127.2,238813.0
2026-02-10T00:00:00.000Z,127.51,128.63,126.99,126.99,225046.0
2026-02-11T00:00:00.000Z,125.07,125.965,124.27,125.62,512380.0
2026-02-12T00:00:00.000Z,123.64,125.4,123.14,125.13,470652.0
2026-02-13T00:00:00.000Z,122.3,123.03,121.415,121.87,340011.0
2026-02-17T00:00:00.000Z,125.15,125.43,123.595,124.27,304684.0
2026-02-18T00:00:00.000Z,125.32,126.99,124.0,124.04,439899.0
2026-02-19T00:00:00.000Z,125.35,125.64,123.34,123.7,298786.0
2026-02-20T00:00:00.000Z,130.98,131.63,128.34,128.42,335613.0
2026-02-23T00:00:00.000Z,131.26,133.22,131.08,133.1,577660.0
2026-02-24T00:00:00.000Z,133.11,133.33,131.857,132.85,266920.0
2026-02-25T00:00:00.000Z,130.58,131.01,129.5,130.86,167600.0
2026-02-26T00:00:00.000Z,130.16,131.4889,129.32,130.64,290840.0
2026-02-27T00:00:00.000Z,127.7,129.32,126.66,128.9,200399.0
2026-03-02T00:00:00.000Z,121.46,122.85,121.15,121.83,608938.0
2026-03-03T00:00:00.000Z,118.05,119.06,114.89,115.0,323342.0
2026-03-04T00:00:00.000Z,118.72,118.72,116.73,117.23,301870.0
2026-03-05T00:00:00.000Z,117.3,118.55,116.02,118.55,347633.0
2026-03-06T00:00:00.000Z,116.74,117.33,115.2,115.25,193589.0
2026-03-09T00:00:00.000Z,117.14,118.1,113.4912,114.66,476665.0
2026-03-10T00:00:00.000Z,116.16,118.65,115.619,117.09,344768.0
2026-03-11T00:00:00.000Z,115.88,117.6,115.25,116.06,292801.0
2026-03-12T00:00:00.000Z,113.5,114.6899,112.89,113.95,534981.0
2026-03-13T00:00:00.000Z,107.97,113.24,107.58,112.95,484200.0
2026-03-16T00:00:00.000Z,110.39,110.9,108.19,108.54,348766.0
2026-03-17T00:00:00.000Z,108.69,109.9,108.2101,109.43,259418.0
2026-03-18T00:00:00.000Z,106.75,108.5,106.75,107.64,347607.0
2026-03-19T00:00:00.000Z,106.9,108.1,105.49,105.54,349339.0
2026-03-20T00:00:00.000Z,105.17,106.52,104.24,106.47,445155.0
2026-03-23T00:00:00.000Z,108.95,110.27,107.44,108.49,569846.0
2026-03-24T00:00:00.000Z,106.14,107.72,105.685,106.54,599907.0
2026-03-25T00:00:00.000Z,106.41,108.02,105.7975,107.89,275693.0
2026-03-26T00:00:00.000Z,104.8,107.5685,104.6,106.24,380322.0
2026-03-27T00:00:00.000Z,104.22,105.65,103.78,105.09,361054.0
2026-03-30T00:00:00.000Z,105.44,106.66,105.02,105.31,316554.0
2026-03-31T00:00:00.000Z,109.24,109.3,106.11,106.46,330587.0
2026-04-01T00:00:00.000Z,109.13,109.96,108.21,108.59,302026.0
2026-04-02T00:00:00.000Z,108.78,109.65,106.784,107.22,320693.0
2026-04-06T00:00:00.000Z,110.1,110.76,108.61,108.77,315679.0
2026-04-07T00:00:00.000Z,109.78,110.09,107.45,109.24,458686.0
2026-04-08T00:00:00.000Z,116.4,118.095,115.18,118.02,412496.0
2026-04-09T00:00:00.000Z,114.68,115.55,111.616,112.46,359745.0
2026-04-10T00:00:00.000Z,113.06,114.76,112.74,114.7,343122.0
2026-04-13T00:00:00.000Z,109.54,113.27,106.24,112.11,651684.0
2026-04-14T00:00:00.000Z,113.155,115.025,111.44,111.63,323616.0
2026-04-15T00:00:00.000Z,114.19,115.83,112.4145,113.0,487044.0
2026-04-16T00:00:00.000Z,113.79,115.304,113.2,114.755,514560.0
2026-04-17T00:00:00.000Z,116.28,118.96,115.89,117.97,342478.0
2026-04-20T00:00:00.000Z,115.58,116.09,114.22,115.82,348854.0
2026-04-21T00:00:00.000Z,113.21,115.64,113.08,115.18,174850.0
2026-04-22T00:00:00.000Z,111.52,112.01,110.6,111.79,216261.0
2026-04-23T00:00:00.000Z,110.44,112.08,108.81,111.23,330072.0
2026-04-24T00:00:00.000Z,111.52,112.22,109.46,109.87,285079.0
2026-04-27T00:00:00.000Z,108.7,109.35,107.92,108.77,510244.0
2026-04-28T00:00:00.000Z,105.75,107.83,105.72,107.55,565184.0
2026-04-29T00:00:00.000Z,104.31,105.45,103.84,104.59,378517.0
2026-04-30T00:00:00.000Z,106.11,106.5,104.1801,104.53,375249.0
2026-05-01T00:00:00.000Z,105.46,107.59,104.5,106.71,303604.0
2026-05-04T00:00:00.000Z,103.8,106.212,103.0,105.53,425478.0
2026-05-05T00:00:00.000Z,105.0,105.56,104.26,105.01,445935.0
2026-05-06T00:00:00.000Z,111.88,112.01,110.88,111.22,295467.0
2026-05-07T00:00:00.000Z,111.19,114.22,111.04,114.03,437255.0
2026-05-08T00:00:00.000Z,111.6,112.0,110.88,111.47,268013.0
2026-05-11T00:00:00.000Z,107.11,109.71,106.0,107.52,505161.0
2026-05-12T00:00:00.000Z,106.71,107.39,105.8701,107.11,452169.0
2026-05-13T00:00:00.000Z,106.5,106.65,104.37,104.55,326384.0
2026-05-14T00:00:00.000Z,106.9,108.1499,106.77,107.3,335511.0
